personId,source
203,Biotech
203,investments
204,Food delivery
205,Airbnb
206,Vacuums
207,Steel
207,investments
208,Diversified
209,Energy
209,investments
210,Cable television
211,Software services
212,Discount brokerage
213,Hardware stores
214,Google
215,Mining
216,Real estate
217,Alcoholic beverages
218,Hydraulic machinery
219,Packaging
220,Packaging
221,Packaging
222,Ecommerce
223,Venture capital
224,E-commerce
225,Facebook
226,EBay
226,PayPal
227,Batteries
228,Oil
229,Chemicals
230,Retail
230,real estate
231,Private equity
232,Investments
233,Soft drinks
233,fast food
234,Software
235,Beer
236,Real estate
237,Google
238,Investments
239,Walmart
240,Solar wafers and modules
241,Media
241,automotive
242,Diamonds
243,Media
243,automotive
244,Aluminum products
245,Sporting goods retail
246,Drugstores
247,Investments
248,Real estate
249,Oil
249,banking
249,telecom
250,Cement
250,sugar
251,Private equity
252,Real estate
253,Real estate
254,Real estate
255,Diversified
256,Diversified
257,Houston Rockets
257,entertainment
258,Diversified
259,Oil and gas
259,IT
259,lotteries
260,Airbnb
261,Oil
262,Home Depot
263,Insurance
264,Private equity
265,Coal mines
266,Investments
267,Private equity
268,Sports apparel
269,Walmart
270,Samsung
271,Private equity
272,Hedge funds
273,Metals and mining
274,Real estate
274,construction
275,Telecom
276,Petrochemicals
277,Petrochemicals
278,Financial information
279,Furniture
280,Shoes
281,Cheese
282,Cheese
283,Movies
283,record labels
284,Internet search
285,Agribusiness
286,Semiconductors
287,Medical devices
288,Real estate
289,Photovoltaic equipment
290,Pharmaceuticals
291,Chemicals
292,Airbnb
293,Real Estate
294,Chemicals
295,Real estate
296,E-commerce
297,Pharmaceuticals
298,Home Depot
299,Supermarkets
300,Sports apparel
301,Hedge funds
302,Private equity
303,Restaurants
304,Software
305,Petrochemicals
306,Textiles
306,apparel
307,Real estate
308,Manufacturing
308,investments
309,Construction
309,investments
310,Agriculture
311,Cement
312,Mining
312,metals
312,machinery
313,Fashion retail
314,Ports
315,Electronics components
316,Trading
316,investments
317,Electronics
318,Real estate
318,investments
319,Auto loans
320,Pipelines
321,Fintech
322,Personal care goods
323,Beverages
324,Healthcare software
325,Gambling
326,Self storage
327,Construction equipment
328,Health care
329,Banking
330,Electronics
331,Business software
332,Online games
333,Online games
334,Mapping software
335,Paints
336,Apparel
337,Real estate
338,Diversified
339,Diversified
340,Food distribution
341,Food distribution
342,Beverages
343,Diversified
344,Homebuilding
344,insurance
345,Cargill
346,Hedge fund
347,Lithium batteries
348,Real estate
349,Zara
350,Medical equipment
351,Pipelines
352,Media
353,Online gambling
354,Pipelines
355,Pipelines
356,Fidelity
357,Tech investments
358,Intel
359,Hedge funds
360,Hedge funds
361,Metals
361,investments
362,Electronics components
363,Pipelines
364,Money management
365,Hedge funds
366,Lego
367,Lego
368,Lego
369,Pharmaceuticals
370,Batteries
371,Solar panel components
372,Chemicals
373,Internet
373,telecom
374,Natural gas
375,Real estate
376,Real estate
377,Hedge funds
378,Computer hardware
379,Lego
380,Computer hardware
381,Snacks
381,beverages
382,Chemicals
383,Chick-fil-A
384,Chick-fil-A
385,Chick-fil-A
386,Hedge funds
387,Semiconductors
388,Investments
389,Private equity
390,Microsoft
391,Retail
391,real estate
392,Real estate
393,Investments
393,real estate
394,Real estate
394,investments
395,Real estate
396,Investments
397,Staffing
397,Baltimore Ravens
398,Hedge funds
399,Biomedical products
400,Oil
400,banking
400,telecom
401,Fertilizer
402,Banking
403,Construction
403,mining
404,Construction equipment
405,Solar equipment
406,Private equity
407,Pharmaceuticals
408,Natural gas distribution
409,Metalworking tools
410,Beer
410,investments
411,Investments
412,Temp agency
413,Beverages
414,Power strips
415,Power strip
416,Investments
417,Telecom
417,oil
418,Private equity
419,Coffee
420,Coffee
421,Hotels
421,energy
422,Steel
422,mining
423,Real estate
423,retail
424,Real estate
425,Convinience stores
426,Security software
427,Retail
427,investments
428,Diversified
429,Investments
430,Investments
431,Investments
432,IT provider
433,Retail
434,Real estate
435,Diversified
436,Hedge funds
437,Finance
438,Food
438,beverages
439,Private equity
440,Medical devices
441,Pharmaceuticals
442,Steel
442,coal
443,Medical equipment
444,Record label
445,Oil
446,Real estate
446,investments
447,Cement
448,Shipping
449,Investments
450,Investments
451,Investments
452,Shipping
453,Oil
453,real estate
454,Package delivery
455,Motorcycles
456,Investments
457,Pharmaceutical ingredients
458,Hotels
458,investments
459,Hotels
459,investments
460,Gambling software
461,Biotech
462,Auto parts
463,Carnival Cruises
464,Media
464,automotive
465,Electronics
466,Payments software
467,Payment software
468,Timberland
468,lumber mills
469,Automobiles
470,Toyota dealerships
471,Diversified
472,Chemicals
473,Pharmaceuticals
474,Pharmaceuticals
475,Manufacturing
475,investments
476,Media
476,automotive
477,Finance
478,Hedge funds
479,Medical packaging
480,Media
480,automotive
481,Software
482,Biotech
483,Luxury goods
484,Paints
485,Mortgage lender
486,IT provider
487,Textiles
487,petrochemicals
488,Kitchen appliances
489,Luxury goods
490,Consumer goods
491,Consumer goods
492,Consumer goods
493,Consumer goods
494,Finance
495,Real estate
496,Carpet
497,Fidelity
498,Venture capital
499,Petrochemicals
500,Hotels
500,investments
501,Agriculture
502,Agriculture
503,Pest control
504,Finance
504,asset management
505,Furniture
506,Poultry genetics
507,Retail
508,Investments
509,Soy sauce
510,Real estate management
511,Apparel
512,Retail
513,Telecoms
513,media
513,oil-services
514,Electronics
515,Frozen foods
516,Online gambling
517,Microsoft
518,Plush toys
518,real estate
519,Real estate
519,private equity
520,Steel
521,Investments
522,Franklin Templeton
523,Online games
524,Private equity
525,Shipping
525,seafood
526,Private equity
527,Pharmaceuticals
528,Software
529,Medical devices
530,San Francisco 49ers
531,Money management
532,Oil
532,investments
533,Biotech and investments
534,Trading
535,Software
535,investments
536,Telecom
537,Pharmaceuticals
538,Online services
539,Est̩e Lauder
540,Sporting goods
541,Star Wars
542,Energy
542,sports
543,Biotechnology
544,Real estate
545,Dental implants
546,Food
547,Lululemon
548,Real estate
549,New Balance
550,Pharmaceuticals
551,Dolby Laboratories
552,E-commerce
553,Payroll services
554,Investments
555,Investments
556,Palm oil
556,nickel mining
557,Medical devices
558,Cheese
559,U-Haul
560,Washington Commanders
561,Diversified
562,Pipelines
563,E-commerce
564,Sports retailing
565,Supermarkets
566,Hospitals
567,Gas stations
567,retail
568,Cleaning products
569,Cleaning products
570,Cleaning products
571,Venture capital
572,IT provider
573,Cleaning products
574,Pharmaceuticals
575,Manufacturing
576,Mining
577,Energy
577,investments
578,New Orleans Saints
579,Electronics
580,Carpet
581,Banking
582,Real estate
583,Samsung
584,Hair dryers
585,Bloomberg LP
586,Aluminum
586,diversified
587,Video games
588,Vodka
589,Online media
589,Dallas Mavericks
590,Cable television
591,Twitter
591,Square
592,Petrochemicals
593,Mining
594,Financial services
595,Estee Lauder
596,Renewable energy
597,Gaming
598,Telecom
599,Supermarkets
600,Supermarkets
601,Supermarkets
602,Food
603,FedEx
604,Private equity
605,Heating
605,cooling equipment
606,Energy drinks
607,Healthcare
608,Tequila
609,Software
610,Acoustic components
611,Software
612,Dairy
613,Software services
614,Retail
614,real estate
615,Private equity
616,Real estate
617,Fintech
618,Chemicals
619,Retail
620,Chemicals
620,spandex
621,Biotech
621,vaccines
622,Computer services
622,real estate
623,Defense
624,Staffing & recruiting
625,Construction
626,Biochemicals
627,Retail
628,Real estate
629,Philadelphia Eagles
630,Investment research
631,Home-cleaning robots
632,Titanium
633,Telecom
634,Private equity
635,Banking
636,Private equity
637,Pharmaceuticals
638,Trucking
639,Little Caesars Pizza
640,Pharmacies
641,Metals
642,Banking
643,Banking
644,Cargill
645,Real estate
646,Diversified
647,Medical equipment
648,Finance
649,Finance
650,Drones
651,Solar inverters
652,Business software
653,Investments
654,Carnival Cruises
655,Oil
655,banking
655,telecom
656,Real estate
657,Real estate
658,Insurance
659,Franklin Templeton
660,Coal
661,Navigation equipment
662,Finance
663,Groupon
663,investments
664,Smartphones
665,Investments
666,Venture capital
667,Hotels
667,investments
668,U-Haul
669,EBay
670,In-N-Out Burger
671,Supermarkets
672,Diversified
673,Facebook
673,investments
674,Agriculture
675,Food services
676,Publishing
677,Beverages
678,Oil
678,real estate
679,Software
680,Spirits
681,Elevators
681,escalators
682,Paint
683,Food service
684,Tobacco distribution
684,retail
685,Campbell Soup
686,Banking
686,minerals
687,Banking
687,minerals
688,Billboards
688,Los Angeles Angels
689,Train cars
690,Real estate
691,Construction equipment
691,media
692,Cybersecurity
693,Biotech
694,Oil
694,investments
695,Email marketing
696,Subway
697,Conglomerate
698,Electrical equipment
699,Sports
700,Uber
701,Aluminum
702,Email marketing
703,Battery separators
704,E-commerce
705,Car dealerships
706,Telecom
707,Telecom
708,Marvel comics
709,Banking
709,real estate
710,Telecom
711,Movies
712,Pharmaceuticals
713,Oil trading
714,Steel
715,Valves
716,Auto parts
717,Cargill
718,Cargill
719,Insurance
719,beverages
720,Insurance
721,Hyundai
722,Investments
723,Coffee makers
724,Optometry
725,Oil
726,Indianapolis Colts
727,Diversified
728,Cargill
729,Hospitals
730,Banking
730,minerals
731,Banking
731,minerals
732,Videogames
733,Consumer goods
734,Consumer goods
735,Consumer goods
736,Glass
737,Venture capital
738,Finance
739,Consumer goods
740,Pharmaceuticals
741,Semiconductors
742,Pharmaceuticals
743,Aviation
744,Cement
744,diversified
745,Online media
746,Investments
747,Private equity
748,Airline
749,Poultry processing
750,Book distribution
750,transportation
751,Electric vehicles
752,Real estate
753,Real estate
754,Oil & gas
755,Mobile phone retailer
756,Healthcare
757,Finance
758,Aircraft leasing
759,Packaging materials
760,Packaging materials
761,Fintech
762,Insurance
763,Real estate
764,Real estate
765,Imaging systems
766,Logistics
767,Hotels
767,motels
768,Advertising
769,IT provider
770,Real estate
771,Fintech
772,Retail
773,Motors
774,Hedge funds
775,Retail
776,Hotels
776,investments
777,Software
778,Starbucks
779,Best Buy
780,Real estate
781,Electrical equipment
782,Diversified
783,Diversified
784,Venture capital
785,Private equity
786,Auto parts
786,distribution
787,Beer
788,Hotels
789,Banking
790,Casinos
791,Hedge funds
792,Car dealerships
793,Investments
794,Fintech
795,Venture capital
796,Real estate
797,Real estate
798,Hedge funds
799,Diversified
800,Shoes
801,Software
802,Software
803,Software
804,Hotels
804,investments
805,Supermarkets
806,Real estate
807,Fashion investments
808,Shipping
809,Liquor
810,Automobiles
810,batteries
811,Smartphone components
812,Electric bikes
812,scooters
813,Eyeglasses
814,Generic drugs
815,Investments
816,Microchip testing
817,Private equity
818,Eyeglasses
819,Eyeglases
820,Eyeglasses
821,Eyeglasses
822,Eyeglasses
823,Eyeglasses
824,Investing
825,Skincare
826,Software
827,Oil
827,coal
827,real estate
828,Paper
829,Infant formula
830,Hedge funds
831,Commodities
832,Hospitals
833,Investments
834,Drugstores
835,Construction
835,pipes
835,banking
836,Winter jackets
837,Biopharmaceuticals
838,Auto parts
839,Private equity
840,Business software
841,Manufacturing
842,Fertilizer
843,Cybersecurity
844,Shipping
845,Eyeglasses
846,Steel
847,Hedge funds
848,Renewable energy
849,Metals
850,Diversified
851,Consumer goods
852,Chemicals
853,Virgin
854,Finance
855,Spirits
856,Diamond jewelry
857,Cable television
858,Johnson & Johnson
858,sports
859,Investments
860,Estee Lauder
861,Tobacco
862,Online retail
863,Web hosting
864,TD Ameritrade
865,Real estate
866,Pharmaceuticals
867,Publishing
868,Flavorings
869,Pharmaceuticals
870,Software
871,Zoom Video Communications
872,Bloomberg LP
873,Scaffolding
873,cement mixers
874,Hedge funds
875,Hearing aids
876,Quartz products
877,Campbell Soup
878,Beer
879,Car dealerships
880,Surveillance equipment
881,Shopping malls
882,Homebuilding
883,Diversified
884,Investments
885,Movie making
886,Home furnishings
887,Fertilizer
888,Discount brokerage
889,Casinos
889,real estate
890,Telecom
891,Venture capital
892,Software
893,Finance and investments
894,Fintech
895,Hedge fund
896,Investments
897,Furniture
898,Retail
899,Fashion retail
899,investments
900,Fashion retail
900,investments
901,Chemicals
902,Supermarkets
902,investments
903,Household chemicals
904,Fashion
905,Chemicals
906,Biotech
907,Satellite TV
908,Yahoo
909,Logistics
909,real estate
910,Retail
911,Software services
912,Department stores
913,Investment
914,Pharmaceuticals
915,Investments
916,Samsung
917,Lithium
918,Manufacturing
919,Pharmaceuticals
919,power
920,Pharmaceuticals
920,power
921,Mining
921,commodities
922,Real estate
923,Cars
924,Construction
925,Private equity
926,Energy drinks
927,Ticketing service
928,Oil & gas
928,investments
929,Packaging
930,Retail
931,Investment banking
932,Medical equipment
933,Transport
933,engineering
933,real estate
934,Software
935,Software
936,Electronic trading
937,Wine
938,Casinos
938,hotels
939,Video games
940,Auto parts
941,Auto parts
942,Online gambling
943,Investments
944,Flavorings
945,Paints
946,Paints
947,Investments
948,Aviation
949,Real estate
950,Digital advertising
951,Netflix
952,Education
953,Cosmetics
954,Palm oil
955,Estee Lauder
956,Meat processing
957,Glass
958,Chemical industry
959,Mining
959,commodities
960,Readymade garments
961,Diversified
962,Private equity
963,Real estate
964,Real estate
965,Banking
966,Hotels
966,investments
967,Diversified
968,Fashion
969,Publishing
970,Real estate
971,Stock brokerage
972,Nutrition
972,wellness products
973,Online games
974,Diversified
975,Diversified
976,Real estate
976,investments
977,Oil & gas
978,Art
978,car dealerships
979,Software
979,investments
980,Pharmaceuticals
981,Spirits
982,Real estate
983,Hair care products
984,Real estate
985,Private equity
986,Drugstores
987,Shopping centers
988,Private equity
989,Copper
989,education
990,Used cars
991,Frozen foods
992,Banking
993,Hearing aids
994,Real estate
995,Chemicals
996,Fashion retail
997,Pharmaceuticals
998,Supermarkets
999,Electronics
1000,Consumer goods
1001,Laboratory services
1002,Pharmaceuticals
1003,Hedge funds
1004,Pharmaceuticals
1005,Fashion retail
1006,Sports apparel
1007,Liquor
1008,Real estate
1009,Restaurants
1010,Palm oil
1011,Diversified
1012,Diversified
1013,Education
1014,Gaming
1015,Pharmaceuticals
1016,Investments
1017,Solar panel materials
1018,Fashion retail
1019,Automotive brakes
1020,Pharmaceuticals
1021,Real estate
1022,Mobile phones
1023,Netscape
1023,investments
1024,Convenience stores
1025,Hair products
1025,tequila
1026,Formula One
1027,Defense
1027,hotels
1028,Live entertainment
1029,Furniture
1030,Engineering
1031,Medical devices
1032,Homebuilding
1033,Real estate
1034,Diversified
1035,Samsung
1036,Consumer products
1037,Healthcare
1038,Packaging
1039,Flavorings
1040,Spotify
1041,Energy
1042,Drugstores
1043,Software
1044,Real estate
1045,Real estate
1046,Oil & gas
1047,Investments
1048,Tires
1049,Pharmaceuticals
1050,TV network
1050,investments
1051,Energy drinks
1052,Hedge fund
1053,Medical devices
1054,Hedge funds
1055,Chewing gum
1056,Supermarkets
1057,Fashion retail
1058,Jewelry
1059,Pharmaceuticals
1060,Uber
1061,Casinos
1061,property
1061,energy
1062,Hotels
1063,Hyundai
1064,Consumer goods
1065,Supermarkets
1066,Chemicals
1067,Casinos
1067,mixed martial arts
1068,Sensor technology
1069,Consumer goods
1070,Diversified
1071,Palm oil
1071,property
1072,Construction materials
1073,Chemicals
1074,Walmart
1074,logistics
1075,Telecom
1076,Telecom
1077,Real estate
1078,Consumer goods
1079,Art collection
1080,Software services
1081,Retail
1082,Retail
1082,real estate
1083,Education
1084,Adhesives
1085,Facebook
1086,Drug distribution
1087,Video streaming
1088,Metals
1088,coal
1089,Petrochemicals
1090,Shipping
1091,EBay
1092,Building materials
1093,Pharmaceuticals
1094,Electrical equipment
1095,Investments
1096,Investments
1097,Diversified
1098,Diversified
1099,Diversified
1100,Diversified
1101,Commodities
1102,Biopharmaceuticals
1103,Pharmaceuticals
1104,Pharmaceuticals
1105,Metals
1105,mining
1106,Fast food
1107,Hedge funds
1108,Oil & gas
1109,Casinos
1109,mixed martial arts
1110,Automobiles
1111,Money management
1112,Hotels
1113,Mining
1114,Mining
1114,steel
1115,Consumer goods
1116,Building materials
1117,Financial services
1118,Real estate
1119,Real estate
1120,Diversified
1121,Banking
1121,insurance
1121,media
1122,Real estate
1123,Real Estate
1124,3D printing
1125,Scientific equipment
1126,Real estate
1127,Casinos
1128,Software
1129,Nutritional supplements
1130,Entertainment
1131,Mining
1132,Telecom
1133,Diversified
1134,Copy machines
1134,software
1135,Consumer goods
1136,Consumer goods
1137,Real estate
1138,Biotech investing
1139,Facebook
1140,Technology services
1141,Agrochemicals
1142,Real estate
1142,airport
1143,Snapchat
1144,Printing
1145,Movies
1145,investments
1146,Mining
1146,banking
1146,hotels
1147,Fish farming
1148,Furniture
1149,Medical equipment
1150,Pharmaceuticals
1151,Real estate
1152,Biotech investing
1153,Investing
1154,Online games
1155,Beef processing
1156,Beef packing
1157,Magazines
1157,media
1158,Chemicals
1159,Pharmaceuticals
1160,Investments
1161,E-cigarettes
1162,Airport management
1163,Pipelines
1164,Construction
1165,Battery components
1166,Campbell Soup
1167,Investments
1168,Investments
1169,Manufacturing
1170,Berkshire Hathaway
1171,Cosmetics
1172,Construction
1173,Airport
1174,Construction
1174,investments
1175,Real estate
1176,Hedge funds
1177,Bakeries
1178,Software
1179,Auto dealerships
1180,Education
1181,Investments
1182,Diversified
1183,Travel
1184,Chemicals
1184,investments
1185,Investments
1186,Prosthetics
1187,Retailing
1188,Investments
1189,Real estate
1189,airport
1190,Hotels
1190,investments
1191,Beer
1192,Payroll software
1193,Auto parts
1194,Pharmaceuticals
1195,Chemicals
1196,Liquefied natural gas
1197,Brakes
1197,investments
1198,Food processing
1199,Heating and cooling equipment
1200,Electronics
1201,Security software
1202,Slim-Fast
1203,Shoes
1204,Shoes
1205,Shoes
1206,Engineering
1206,construction
1207,Investments
1208,Liquor
1209,Consumer goods
1210,Car dealerships
1211,Video streaming app
1212,Fast food
1213,Fast food
1214,Hedge funds
1215,Cement
1216,Beef processing
1217,Aluminum
1217,utilities
1218,Software
1219,Hedge funds
1220,Plastic pipes
1221,Fertilizer
1222,Information technology
1223,Private equity
1224,Gas stations
1225,Investments
1226,Music
1227,Engineering
1228,Energy
1229,Tobacco
1230,Engineering
1231,Paper & related products
1232,Real estate
1233,Jewelry
1234,Coffee
1234,shipping
1235,Medical devices
1236,Tractors
1237,Snapchat
1238,Shopping centers
1239,Aerospace
1240,Hotels
1240,investments
1241,Semiconductors
1242,Diversified
1243,Steel production
1244,Online games
1244,investments
1245,Real estate
1246,Diversified
1247,Diversified
1248,Oil & gas
1248,investments
1249,Investments
1250,Real estate
1251,Auto repair
1252,Retail
1253,TV shows
1254,Bakery chain
1255,Cobalt
1256,Retail
1257,WhatsApp
1258,Auto dealers
1258,investments
1259,Oil
1259,investments
1260,Media
1260,investments
1261,Medical technology
1262,Herbal products
1263,Retail
1264,Private equity
1265,Gap
1266,Banking
1267,Pharmaceuticals
1268,Private equity
1269,Gambling
1270,Real estate
1271,Financial services
1272,Pharmaceuticals
1273,Diversified
1274,Valve manufacturing
1275,Media
1276,Cryptocurrency
1277,Aerospace
1278,Soy sauce
1279,Commodities
1280,Hotels
1280,investments
1281,Real estate
1282,Hand tools
1283,Diversified
1284,Financial services
1285,Payments software
1286,Diversified
1287,Diversified
1288,Diversified
1289,Semiconductors
1290,Cable television
1291,Real estate
1292,Private equity
1293,Yahoo
1294,Machinery
1295,Chemicals
1296,Real estate
1296,media
1297,Hedge funds
1298,Oil
1298,investments
1299,Sensor systems
1300,Sensor systems
1301,Columbia Sportswear
1302,Semiconductors
1303,Real estate
1304,Flavorings
1305,Software services
1306,Tires
1306,diversified
1307,Tires
1307,diversified
1308,Spotify
1309,Gap
1310,Retail
1311,Construction
1312,Private equity
1313,Manufacturing
1314,Private equity
1315,Online retailing
1316,Soy sauce
1317,Pharmaceuticals
1318,Financial services
1319,Restaurants
1320,Financial services
1321,Casinos
1322,Consumer goods
1323,Pet food
1324,Retail
1325,Agriculture
1325,land
1326,Dole
1326,real estate
1327,Art collection
1328,Investments
1329,Candy
1330,Candy
1331,Luxury goods
1332,Luxury goods
1333,Diversified
1334,Liquor
1335,Investments
1336,Medical devices
1337,Real estate
1337,grains
1338,Fashion retail
1339,Measuring instruments
1340,Finance
1341,Computer networking
1342,Real estate
1342,investments
1343,Real estate
1344,Tires
1345,Real estate
1346,Chicken processing
1347,Pearlescent pigments
1348,Construction
1348,mining machinery
1349,Dental materials
1350,Precision machinery
1351,Real estate
1351,investments
1352,Cryptocurrency
1353,Oil
1353,mining
1354,Diversified
1355,Business software
1356,Retail
1356,agribusiness
1357,Insurance
1358,Investments
1359,Pharmaceuticals
1360,Finance
1361,Pharmaceuticals
1362,Fashion
1363,Poultry
1364,Hedge funds
1365,Investments
1366,Pharmaceuticals
1367,Automotive
1368,SAP
1369,Hospitals
1370,Real estate
1371,Finance
1372,Sunglasses
1373,Damaged cars
1374,Sports apparel
1375,Cryptocurrency
1376,Retail
1377,Conglomerate
1378,Diversified
1379,Software
1380,Investments
1381,Private equity
1382,Berkshire Hathaway
1383,WeWork
1384,Airlines
1385,Beverages
1386,Manufacturing
1386,investment
1387,Software
1388,Health IT
1389,Healthcare
1390,Sports teams
1391,Payroll processing
1392,Jewelry
1393,Biotech
1394,Software
1395,Venture capital
1395,Google
1396,Real estate
1397,Software
1398,Hedge funds
1399,Diversified
1400,Diversified
1401,Real estate
1402,Textiles
1402,petrochemicals
1403,Software
1404,H&M
1405,Healthcare
1406,Business software
1407,Sports apparel
1408,Budget airline
1409,Coca-Cola Israel
1410,Batteries
1411,Agribusiness
1412,Electronics
1413,Package delivery
1414,Investments
1415,Steel
1416,Batteries
1417,Mining
1417,commodities
1418,Coffee
1419,Construction
1419,media
1420,Casinos
1420,banking
1421,Consumer goods
1422,Manufacturing
1423,Electronics
1424,Software
1425,Oil & gas
1426,Hearing aids
1427,Luxury goods
1428,Internet service provider
1429,Animal health
1429,investments
1430,Animal health
1430,investments
1431,Real estate
1432,Oil refining
1433,Luxury goods
1434,Steel
1435,Getty Oil
1436,Space
1436,energy
1437,Clinical trials
1438,Diversified
1439,Diversified
1440,Real estate
1441,Consumer goods
1442,Real estate
1442,investments
1443,Supermarkets
1444,Diversified
1445,Machinery
1446,Payment processing
1447,Software
1448,Retail
1449,Retail
1450,Real estate
1451,Smartphone screens
1452,Hedge funds
1453,Accounting services
1454,Sports teams
1455,Real estate
1456,Power supply equipment
1457,Retail
1458,Snack bars
1459,Internet search
1460,Diversified
1461,Footwear
1462,Investments
1463,Biopharmaceuticals
1464,Auto parts
1465,E-commerce
1466,Building materials
1467,Metals
1467,banking
1467,fertilizers
1468,Appliances
1469,Construction
1470,Steel pipes
1470,diversified
1471,E-commerce
1472,Education technology
1473,Infrastructure
1474,Fast fashion
1475,Medical cosmetics
1476,Investments
1477,Biotech
1478,Two-wheelers
1479,Dick's Sporting Goods
1480,Edible oil
1481,Real estate
1482,Pet food
1483,Food processing
1484,Greek yogurt
1485,Furniture retailing
1486,Food
1486,beverages
1487,Food
1487,beverages
1488,Food
1488,beverages
1489,Food
1489,beverages
1490,Casinos
1490,hotels
1491,Auto parts
1492,Retail
1493,Glass
1494,Metal processing
1495,Chemicals
1496,Pharmaceuticals
1497,Engineering
1498,Retail
1498,investments
1499,Online dating
1500,Security
1501,Software
1502,Pharmaceuticals
1503,Semiconductors
1504,Stationery
1505,Diversified
1506,Energy
1506,chemicals
1507,Nutella
1507,chocolates
1508,Low-cost airlines
1509,Pharmaceuticals
1510,Real estate
1511,Mining
1512,Technology
1513,Silicon
1514,Amusement parks
1515,Finance
1516,Charlotte Hornets
1516,endorsements
1517,Real estate
1518,Software
1518,investments
1519,Dental products
1520,E-commerce
1521,Semiconductor
1522,TikTok
1523,Appliances
1524,Energy
1524,real estate
1525,Petrochemicals
1526,Real estate
1527,Investments
1528,Telecom
1529,Power equipment
1530,Logistics
1531,Investments
1532,Mining
1533,Cybersecurity
1534,Hotels
1534,investments
1535,Infrastructure
1536,Mining
1537,Mining
1538,Banking
1538,credit cards
1539,Engineering
1540,TV broadcasting
1541,Cosmetics
1542,Data centers
1543,Sports
1544,Investments
1545,Banking
1545,insurance
1546,Mining
1547,Plastics
1548,Touch screens
1549,Semiconductor
1550,Electronics components
1551,Software
1552,Solar energy equipment
1553,Healthcare
1554,Forestry
1554,mining
1555,Oil & gas
1556,Sports
1557,Banking
1558,Oil
1558,gas
1559,Luxury goods
